month,new_trials,total_enrollment,cumulative_trials,rolling_6m,rolling_12m
1992-10-01,1,0.0,8,0.3333333333333333,0.25
1992-11-01,0,0.0,8,0.3333333333333333,0.25
1992-12-01,0,0.0,8,0.3333333333333333,0.25
1993-01-01,0,0.0,8,0.16666666666666666,0.25
1993-02-01,1,25.0,9,0.3333333333333333,0.25
1993-03-01,0,0.0,9,0.3333333333333333,0.25
1993-04-01,0,0.0,9,0.16666666666666666,0.25
1993-05-01,0,0.0,9,0.16666666666666666,0.25
1993-06-01,0,0.0,9,0.16666666666666666,0.25
1993-07-01,0,0.0,9,0.16666666666666666,0.16666666666666666
1993-08-01,0,0.0,9,0.0,0.16666666666666666
1993-09-01,0,0.0,9,0.0,0.16666666666666666
1993-10-01,0,0.0,9,0.0,0.08333333333333333
1993-11-01,1,2136.0,10,0.16666666666666666,0.16666666666666666
1993-12-01,0,0.0,10,0.16666666666666666,0.16666666666666666
1994-01-01,0,0.0,10,0.16666666666666666,0.16666666666666666
1994-02-01,0,0.0,10,0.16666666666666666,0.08333333333333333
1994-03-01,0,0.0,10,0.16666666666666666,0.08333333333333333
1994-04-01,0,0.0,10,0.16666666666666666,0.08333333333333333
1994-05-01,2,54.0,12,0.3333333333333333,0.25
1994-06-01,0,0.0,12,0.3333333333333333,0.25
1994-07-01,0,0.0,12,0.3333333333333333,0.25
1994-08-01,0,0.0,12,0.3333333333333333,0.25
1994-09-01,0,0.0,12,0.3333333333333333,0.25
1994-10-01,1,70.0,13,0.5,0.3333333333333333
1994-11-01,0,0.0,13,0.16666666666666666,0.25
1994-12-01,0,0.0,13,0.16666666666666666,0.25
1995-01-01,2,136.0,15,0.5,0.4166666666666667
1995-02-01,0,0.0,15,0.5,0.4166666666666667
1995-03-01,0,0.0,15,0.5,0.4166666666666667
1995-04-01,0,0.0,15,0.3333333333333333,0.4166666666666667
1995-05-01,1,50.0,16,0.5,0.3333333333333333
1995-06-01,0,0.0,16,0.5,0.3333333333333333
1995-07-01,0,0.0,16,0.16666666666666666,0.3333333333333333
1995-08-01,0,0.0,16,0.16666666666666666,0.3333333333333333
1995-09-01,0,0.0,16,0.16666666666666666,0.3333333333333333
1995-10-01,0,0.0,16,0.16666666666666666,0.25
1995-11-01,0,0.0,16,0.0,0.25
1995-12-01,0,0.0,16,0.0,0.25
1996-01-01,1,150.0,17,0.16666666666666666,0.16666666666666666
1996-02-01,1,25.0,18,0.3333333333333333,0.25
1996-03-01,0,0.0,18,0.3333333333333333,0.25
1996-04-01,1,30.0,19,0.5,0.3333333333333333
1996-05-01,0,0.0,19,0.5,0.25
1996-06-01,1,3.0,20,0.6666666666666666,0.3333333333333333
1996-07-01,2,65.0,22,0.8333333333333334,0.5
1996-08-01,0,0.0,22,0.6666666666666666,0.5
1996-09-01,0,0.0,22,0.6666666666666666,0.5
1996-10-01,1,35.0,23,0.6666666666666666,0.5833333333333334
1996-11-01,0,0.0,23,0.6666666666666666,0.5833333333333334
1996-12-01,0,0.0,23,0.5,0.5833333333333334
1997-01-01,0,0.0,23,0.16666666666666666,0.5
1997-02-01,0,0.0,23,0.16666666666666666,0.4166666666666667
1997-03-01,0,0.0,23,0.16666666666666666,0.4166666666666667
1997-04-01,3,503.0,26,0.5,0.5833333333333334
1997-05-01,2,173.0,28,0.8333333333333334,0.75
1997-06-01,0,0.0,28,0.8333333333333334,0.6666666666666666
1997-07-01,1,14641.0,29,1.0,0.5833333333333334
1997-08-01,1,0.0,30,1.1666666666666667,0.6666666666666666
1997-09-01,3,48949.0,33,1.6666666666666667,0.9166666666666666
