month,new_trials,total_enrollment,cumulative_trials,rolling_6m,rolling_12m
1997-07-01,1,14641.0,3,0.16666666666666666,0.08333333333333333
1997-08-01,0,0.0,3,0.16666666666666666,0.08333333333333333
1997-09-01,0,0.0,3,0.16666666666666666,0.08333333333333333
1997-10-01,0,0.0,3,0.16666666666666666,0.08333333333333333
1997-11-01,0,0.0,3,0.16666666666666666,0.08333333333333333
1997-12-01,0,0.0,3,0.16666666666666666,0.08333333333333333
1998-01-01,0,0.0,3,0.0,0.08333333333333333
1998-02-01,1,337.0,4,0.16666666666666666,0.16666666666666666
1998-03-01,0,0.0,4,0.16666666666666666,0.16666666666666666
1998-04-01,1,24.0,5,0.3333333333333333,0.25
1998-05-01,0,0.0,5,0.3333333333333333,0.25
1998-06-01,0,0.0,5,0.3333333333333333,0.25
1998-07-01,0,0.0,5,0.3333333333333333,0.16666666666666666
1998-08-01,2,408.0,7,0.5,0.3333333333333333
1998-09-01,1,28.0,8,0.6666666666666666,0.4166666666666667
1998-10-01,0,0.0,8,0.5,0.4166666666666667
1998-11-01,0,0.0,8,0.5,0.4166666666666667
1998-12-01,0,0.0,8,0.5,0.4166666666666667
1999-01-01,0,0.0,8,0.5,0.4166666666666667
1999-02-01,0,0.0,8,0.16666666666666666,0.3333333333333333
1999-03-01,0,0.0,8,0.0,0.3333333333333333
1999-04-01,1,0.0,9,0.16666666666666666,0.3333333333333333
1999-05-01,0,0.0,9,0.16666666666666666,0.3333333333333333
1999-06-01,0,0.0,9,0.16666666666666666,0.3333333333333333
1999-07-01,0,0.0,9,0.16666666666666666,0.3333333333333333
1999-08-01,1,38.0,10,0.3333333333333333,0.25
1999-09-01,0,0.0,10,0.3333333333333333,0.16666666666666666
1999-10-01,0,0.0,10,0.16666666666666666,0.16666666666666666
1999-11-01,0,0.0,10,0.16666666666666666,0.16666666666666666
1999-12-01,0,0.0,10,0.16666666666666666,0.16666666666666666
2000-01-01,1,8171.0,11,0.3333333333333333,0.25
2000-02-01,0,0.0,11,0.16666666666666666,0.25
2000-03-01,0,0.0,11,0.16666666666666666,0.25
2000-04-01,0,0.0,11,0.16666666666666666,0.16666666666666666
2000-05-01,1,192.0,12,0.3333333333333333,0.25
2000-06-01,1,62.0,13,0.5,0.3333333333333333
2000-07-01,0,0.0,13,0.3333333333333333,0.3333333333333333
2000-08-01,1,0.0,14,0.5,0.3333333333333333
2000-09-01,0,0.0,14,0.5,0.3333333333333333
2000-10-01,0,0.0,14,0.5,0.3333333333333333
2000-11-01,0,0.0,14,0.3333333333333333,0.3333333333333333
2000-12-01,0,0.0,14,0.16666666666666666,0.3333333333333333
2001-01-01,1,202.0,15,0.3333333333333333,0.3333333333333333
2001-02-01,1,24.0,16,0.3333333333333333,0.4166666666666667
2001-03-01,3,806.0,19,0.8333333333333334,0.6666666666666666
2001-04-01,2,257.0,21,1.1666666666666667,0.8333333333333334
2001-05-01,1,0.0,22,1.3333333333333333,0.8333333333333334
2001-06-01,1,0.0,23,1.5,0.8333333333333334
2001-07-01,1,0.0,24,1.5,0.9166666666666666
2001-08-01,1,0.0,25,1.5,0.9166666666666666
2001-09-01,0,0.0,25,1.0,0.9166666666666666
2001-10-01,0,0.0,25,0.6666666666666666,0.9166666666666666
2001-11-01,2,37.0,27,0.8333333333333334,1.0833333333333333
2001-12-01,0,0.0,27,0.6666666666666666,1.0833333333333333
2002-01-01,3,172.0,30,1.0,1.25
2002-02-01,0,0.0,30,0.8333333333333334,1.1666666666666667
2002-03-01,0,0.0,30,0.8333333333333334,0.9166666666666666
2002-04-01,0,0.0,30,0.8333333333333334,0.75
2002-05-01,1,119.0,31,0.6666666666666666,0.75
2002-06-01,1,105.0,32,0.8333333333333334,0.75
2002-07-01,0,0.0,32,0.3333333333333333,0.6666666666666666
2002-08-01,2,422.0,34,0.6666666666666666,0.75
2002-09-01,1,137.0,35,0.8333333333333334,0.8333333333333334
2002-10-01,1,274.0,36,1.0,0.9166666666666666
2002-11-01,1,77.0,37,1.0,0.8333333333333334
2002-12-01,2,110.0,39,1.1666666666666667,1.0
2003-01-01,1,186.0,40,1.3333333333333333,0.8333333333333334
2003-02-01,0,0.0,40,1.0,0.8333333333333334
2003-03-01,1,11.0,41,1.0,0.9166666666666666
2003-04-01,4,2083.0,45,1.5,1.25
2003-05-01,1,264.0,46,1.5,1.25
2003-06-01,2,200.0,48,1.5,1.3333333333333333
2003-07-01,1,2035.0,49,1.5,1.4166666666666667
2003-08-01,0,0.0,49,1.5,1.25
2003-09-01,0,0.0,49,1.3333333333333333,1.1666666666666667
2003-10-01,1,65.0,50,0.8333333333333334,1.1666666666666667
2003-11-01,1,74.0,51,0.8333333333333334,1.1666666666666667
2003-12-01,3,179.0,54,1.0,1.25
2004-01-01,1,10.0,55,1.0,1.25
2004-02-01,1,10838.0,56,1.1666666666666667,1.3333333333333333
2004-03-01,2,1953.0,58,1.5,1.4166666666666667
2004-04-01,1,30.0,59,1.5,1.1666666666666667
2004-05-01,1,16.0,60,1.5,1.1666666666666667
2004-06-01,1,24.0,61,1.1666666666666667,1.0833333333333333
2004-07-01,1,51.0,62,1.1666666666666667,1.0833333333333333
2004-08-01,0,0.0,62,1.0,1.0833333333333333
2004-09-01,1,906.0,63,0.8333333333333334,1.1666666666666667
2004-10-01,2,50.0,65,1.0,1.25
2004-11-01,2,151.0,67,1.1666666666666667,1.3333333333333333
2004-12-01,1,39.0,68,1.1666666666666667,1.1666666666666667
2005-01-01,5,32071.0,73,1.8333333333333333,1.5
2005-02-01,2,90.0,75,2.1666666666666665,1.5833333333333333
2005-03-01,2,1200.0,77,2.3333333333333335,1.5833333333333333
2005-04-01,0,0.0,77,2.0,1.5
2005-05-01,0,0.0,77,1.6666666666666667,1.4166666666666667
2005-06-01,0,0.0,77,1.5,1.3333333333333333
2005-07-01,2,60.0,79,1.0,1.4166666666666667
2005-08-01,5,522.0,84,1.5,1.8333333333333333
2005-09-01,1,8400.0,85,1.3333333333333333,1.8333333333333333
2005-10-01,1,521.0,86,1.5,1.75
2005-11-01,1,43.0,87,1.6666666666666667,1.6666666666666667
2005-12-01,2,30.0,89,2.0,1.75
2006-01-01,3,200.0,92,2.1666666666666665,1.5833333333333333
2006-02-01,5,2105.0,97,2.1666666666666665,1.8333333333333333
2006-03-01,4,817.0,101,2.6666666666666665,2.0
2006-04-01,1,43.0,102,2.6666666666666665,2.0833333333333335
2006-05-01,4,283.0,106,3.1666666666666665,2.4166666666666665
2006-06-01,1,10.0,107,3.0,2.5
2006-07-01,0,0.0,107,2.5,2.3333333333333335
2006-08-01,1,169.0,108,1.8333333333333333,2.0
2006-09-01,2,108.0,110,1.5,2.0833333333333335
2006-10-01,1,628.0,111,1.5,2.0833333333333335
2006-11-01,2,1792.0,113,1.1666666666666667,2.1666666666666665
2006-12-01,1,330.0,114,1.1666666666666667,2.0833333333333335
2007-01-01,6,934.0,120,2.1666666666666665,2.3333333333333335
2007-02-01,1,180.0,121,2.1666666666666665,2.0
2007-03-01,1,103.0,122,2.0,1.75
2007-04-01,0,0.0,122,1.8333333333333333,1.6666666666666667
2007-05-01,2,313.0,124,1.8333333333333333,1.5
2007-06-01,3,438.0,127,2.1666666666666665,1.6666666666666667
2007-07-01,2,82.0,129,1.5,1.8333333333333333
2007-08-01,0,0.0,129,1.3333333333333333,1.75
2007-09-01,2,56.0,131,1.5,1.75
2007-10-01,2,147.0,133,1.8333333333333333,1.8333333333333333
2007-11-01,3,146.0,136,2.0,1.9166666666666667
2007-12-01,1,24.0,137,1.6666666666666667,1.9166666666666667
2008-01-01,2,411.0,139,1.6666666666666667,1.5833333333333333
2008-02-01,2,322.0,141,2.0,1.6666666666666667
2008-03-01,2,131.0,143,2.0,1.75
2008-04-01,1,568.0,144,1.8333333333333333,1.8333333333333333
2008-05-01,2,520.0,146,1.6666666666666667,1.8333333333333333
2008-06-01,1,192.0,147,1.6666666666666667,1.6666666666666667
2008-07-01,1,184.0,148,1.5,1.5833333333333333
2008-08-01,2,895.0,150,1.5,1.75
2008-09-01,1,13675.0,151,1.3333333333333333,1.6666666666666667
2008-10-01,4,1804.0,155,1.8333333333333333,1.8333333333333333
2008-11-01,0,0.0,155,1.5,1.5833333333333333
2008-12-01,1,15.0,156,1.5,1.5833333333333333
2009-01-01,5,2224.0,161,2.1666666666666665,1.8333333333333333
2009-02-01,1,112.0,162,2.0,1.75
2009-03-01,1,54.0,163,2.0,1.6666666666666667
2009-04-01,0,0.0,163,1.3333333333333333,1.5833333333333333
2009-05-01,0,0.0,163,1.3333333333333333,1.4166666666666667
2009-06-01,4,2435.0,167,1.8333333333333333,1.6666666666666667
2009-07-01,2,690.0,169,1.3333333333333333,1.75
2009-08-01,4,1213.0,173,1.8333333333333333,1.9166666666666667
2009-09-01,3,125.0,176,2.1666666666666665,2.0833333333333335
2009-10-01,1,78.0,177,2.3333333333333335,1.8333333333333333
2009-11-01,4,2137.0,181,3.0,2.1666666666666665
2009-12-01,1,31.0,182,2.5,2.1666666666666665
2010-01-01,4,520.0,186,2.8333333333333335,2.0833333333333335
2010-02-01,4,2678.0,190,2.8333333333333335,2.3333333333333335
2010-03-01,2,1498.0,192,2.6666666666666665,2.4166666666666665
2010-04-01,3,532.0,195,3.0,2.6666666666666665
2010-05-01,2,449.0,197,2.6666666666666665,2.8333333333333335
2010-06-01,5,751.0,202,3.3333333333333335,2.9166666666666665
2010-07-01,1,18.0,203,2.8333333333333335,2.8333333333333335
